,id,freq,roi,deg
265,GenZ_114_9a,alpha,2,0.0
266,GenZ_114_9a,alpha,3,0.0
267,GenZ_114_9a,alpha,35,0.0
268,GenZ_114_9a,beta,0,0.0
269,GenZ_114_9a,beta,2,0.0
270,GenZ_114_9a,beta,3,0.0
271,GenZ_114_9a,beta,35,0.0
272,GenZ_114_9a,gamma,0,0.0
273,GenZ_114_9a,gamma,2,0.0
274,GenZ_114_9a,gamma,3,0.0
275,GenZ_114_9a,gamma,35,0.0
276,GenZ_114_9a,gamma2,0,0.0
277,GenZ_114_9a,gamma2,2,0.0
278,GenZ_114_9a,gamma2,3,0.0
279,GenZ_114_9a,gamma2,35,0.0
280,GenZ_115_9a,DC,0,0.0
281,GenZ_115_9a,DC,2,0.0
282,GenZ_115_9a,DC,3,0.0
283,GenZ_115_9a,DC,35,0.0
284,GenZ_115_9a,delta,0,0.0
285,GenZ_115_9a,delta,2,0.0
286,GenZ_115_9a,delta,3,0.0
287,GenZ_115_9a,delta,35,0.0
288,GenZ_115_9a,theta,0,0.0
289,GenZ_115_9a,theta,2,0.0
290,GenZ_115_9a,theta,3,0.0
291,GenZ_115_9a,theta,35,0.0
292,GenZ_115_9a,alpha,0,0.0
293,GenZ_115_9a,alpha,2,0.0
294,GenZ_115_9a,alpha,3,0.0
295,GenZ_115_9a,alpha,35,0.0
296,GenZ_115_9a,beta,0,0.0
297,GenZ_115_9a,beta,2,0.0
298,GenZ_115_9a,beta,3,0.0
299,GenZ_115_9a,beta,35,0.0
300,GenZ_115_9a,gamma,0,0.0
301,GenZ_115_9a,gamma,2,0.0
302,GenZ_115_9a,gamma,3,0.0
303,GenZ_115_9a,gamma,35,0.0
304,GenZ_115_9a,gamma2,0,0.0
305,GenZ_115_9a,gamma2,2,0.0
306,GenZ_115_9a,gamma2,3,0.0
307,GenZ_115_9a,gamma2,35,0.0
308,GenZ_116_9a,DC,0,0.0
309,GenZ_116_9a,DC,2,0.0
310,GenZ_116_9a,DC,3,0.0
311,GenZ_116_9a,DC,35,0.0
312,GenZ_116_9a,delta,0,0.0
313,GenZ_116_9a,delta,2,0.0
314,GenZ_116_9a,delta,3,0.0
315,GenZ_116_9a,delta,35,0.0
316,GenZ_116_9a,theta,0,0.0
317,GenZ_116_9a,theta,2,0.0
318,GenZ_116_9a,theta,3,0.0
319,GenZ_116_9a,theta,35,0.0
320,GenZ_116_9a,alpha,0,0.0
321,GenZ_116_9a,alpha,2,0.0
322,GenZ_116_9a,alpha,3,0.0
323,GenZ_116_9a,alpha,35,0.0
324,GenZ_116_9a,beta,0,0.0
325,GenZ_116_9a,beta,2,0.0
326,GenZ_116_9a,beta,3,0.0
327,GenZ_116_9a,beta,35,0.0
328,GenZ_116_9a,gamma,0,0.0
329,GenZ_116_9a,gamma,2,0.0
330,GenZ_116_9a,gamma,3,0.0
331,GenZ_116_9a,gamma,35,0.0
332,GenZ_116_9a,gamma2,0,0.0
333,GenZ_116_9a,gamma2,2,0.0
334,GenZ_116_9a,gamma2,3,0.0
335,GenZ_116_9a,gamma2,35,0.0
336,GenZ_117_9a,DC,0,0.0
337,GenZ_117_9a,DC,2,0.0
338,GenZ_117_9a,DC,3,0.0
339,GenZ_117_9a,DC,35,0.0
340,GenZ_117_9a,delta,0,0.0
341,GenZ_117_9a,delta,2,0.0
342,GenZ_117_9a,delta,3,0.0
343,GenZ_117_9a,delta,35,0.0
344,GenZ_117_9a,theta,0,0.0
345,GenZ_117_9a,theta,2,0.0
346,GenZ_117_9a,theta,3,0.0
347,GenZ_117_9a,theta,35,0.0
348,GenZ_117_9a,alpha,0,0.0
349,GenZ_117_9a,alpha,2,0.0
350,GenZ_117_9a,alpha,3,0.0
351,GenZ_117_9a,alpha,35,0.0
352,GenZ_117_9a,beta,0,0.0
353,GenZ_117_9a,beta,2,0.0
354,GenZ_117_9a,beta,3,0.0
355,GenZ_117_9a,beta,35,0.0
356,GenZ_117_9a,gamma,0,0.0
357,GenZ_117_9a,gamma,2,0.0
358,GenZ_117_9a,gamma,3,0.0
359,GenZ_117_9a,gamma,35,0.0
360,GenZ_117_9a,gamma2,0,0.0
361,GenZ_117_9a,gamma2,2,0.0
362,GenZ_117_9a,gamma2,3,0.0
363,GenZ_117_9a,gamma2,35,0.0
364,GenZ_118_9a,DC,0,0.0
365,GenZ_118_9a,DC,2,0.0
366,GenZ_118_9a,DC,3,0.0
367,GenZ_118_9a,DC,35,0.0
